costat,curcd,datafmt,indfmt,consol,gvkey,datadate,conm,countrycode,naics,sic,year,intan,ppegt,ppent,cogs,dvt,oibdp,sale,xad,xlr,xrd,xsga,csho,emp,mkvalt,naicsh,prcc_f,sich,isin,loc,xopr,cshoi,duplicate,valuePPP_exp,valuePPP_gdp,country_name,unitofmeasure,country,pop,avh,hc,rgdpna,rnna,gdppc,lngdppc,rel_gdppc,v_gdp,_merge,ind2d,nrind2,ind3d,nrind3,ind4d,nrind4,sale_cogs_ratio,theta_c,n,theta_CDs,theta_WI1_ct,theta_WI2_ct,theta_WI2_xt,theta_WI1_kt,theta_WI2_kt,theta_Wtime,theta_CM1_ct,theta_CM2_ct,theta_CM2_xt,theta_CM1_kt,theta_CM2_kt,theta_pass,countryind
I,USD,STD,INDL,C,10884.0,31dec1965,CHIQUITA BRANDS INTL INC,USA,111339.0,100.0,1965,4.255,398.9,174.2,302.9,1.19,48.25,381.5,,,,30.35,7.961,47.9,,,32.24999714,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,196.903470234311,1991.91,2.8971524,4932693.5,17608950.0,25057.967,10.128947,1.4317912,741904.8574114061,Matched (3),11,1.0,111.0,18.0,1113.0,94.0,1.2594916,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,7675.0,31dec1965,NABISCO INC,USA,115210.0,2000.0,1965,8.848,291.003,135.876,394.808,24.63,88.678,627.268,,197.5,,143.782,13.692,30.1,,,54.11999512,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,196.903470234311,1991.91,2.8971524,4932693.5,17608950.0,25057.967,10.128947,1.4317912,741904.8574114061,Matched (3),11,1.0,115.0,22.0,1152.0,107.0,1.5887926,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,2812.0,30apr1966,DOLE FOOD CO INC,USA,111339.0,100.0,1965,0.0,210.3,103.7,207.29,3.66,28.89,291.2,,,,55.02,3.867,8.0,,,31.74997405,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,196.903470234311,1991.91,2.8971524,4932693.5,17608950.0,25057.967,10.128947,1.4317912,741904.8574114061,Matched (3),11,1.0,111.0,18.0,1113.0,94.0,1.4047952,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,10884.0,31dec1966,CHIQUITA BRANDS INTL INC,USA,111339.0,100.0,1966,6.936,407.2,179.3,345.03,6.75,55.42,439.8,,,,39.35,7.737,49.0,,,26.74999809,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,199.190680888167,2000.82,2.9283707,5257925.5,18365290.0,26397.354,10.181019,1.5083226,813032.7401715475,Matched (3),11,1.0,111.0,18.0,1113.0,94.0,1.2746718,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,10971.0,31oct1966,U S SUGAR CORP,USA,111.0,100.0,1966,0.0,48.708,33.775,19.779,4.552,11.438,32.9,,,,1.683,1.751,2.5,,,31.49999142,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,199.190680888167,2000.82,2.9283707,5257925.5,18365290.0,26397.354,10.181019,1.5083226,813032.7401715475,Matched (3),11,1.0,111.0,18.0,111.0,18.0,1.6633804,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,CAD,STD,INDL,C,3425.0,31dec1966,CONSOLIDATED RAMBLER MINES,CAN,113310.0,2400.0,1966,0.0,6.032,5.54,2.089,0.0,1.125,3.256,,,,0.042,2.94,,,,,,,,,,0.0,,0.97776401,Canada,National currency per US dollar,Canada,20.15707909589532,2023.71,2.749999,475919.0,1539131.3,20766.41,9.9410925,1.1865752,67169.8453645839,Matched (3),11,1.0,113.0,20.0,1133.0,104.0,1.5586405,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,20.0
A,USD,STD,INDL,C,1266.0,31aug1966,ALICO INC,USA,111310.0,100.0,1966,0.071,4.147,3.674,0.926,0.0,0.143,1.069,,,,,2.634,,,,9.25,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,199.190680888167,2000.82,2.9283707,5257925.5,18365290.0,26397.354,10.181019,1.5083226,813032.7401715475,Matched (3),11,1.0,111.0,18.0,1113.0,94.0,1.1544276,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,2812.0,30apr1967,DOLE FOOD CO INC,USA,111339.0,100.0,1966,0.0,229.7,116.2,241.19,4.04,25.54,331.4,,,,64.67,4.302,8.0,,,33.87490844,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,199.190680888167,2000.82,2.9283707,5257925.5,18365290.0,26397.354,10.181019,1.5083226,813032.7401715475,Matched (3),11,1.0,111.0,18.0,1113.0,94.0,1.3740205,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,7675.0,31dec1966,NABISCO INC,USA,115210.0,2000.0,1966,26.506,344.9,159.3,457.18,25.92,96.23,719.6,,222.09,,166.19,13.692,36.0,,,47.5,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,199.190680888167,2000.82,2.9283707,5257925.5,18365290.0,26397.354,10.181019,1.5083226,813032.7401715475,Matched (3),11,1.0,115.0,22.0,1152.0,107.0,1.5739971,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
I,USD,STD,INDL,C,2812.0,31mar1968,DOLE FOOD CO INC,USA,111339.0,100.0,1967,0.0,262.7,138.0,244.64,4.32,28.55,343.3,,,,70.11,4.532,9.0,,,32.12497023,,,,,,0.0,,1.0,United States,National currency per US dollar,United States,201.371490592091,1977.72,2.9599254,5402184.5,19077508.0,26809.004,10.196493,1.5318439,859620.027154035,Matched (3),11,1.0,111.0,18.0,1113.0,94.0,1.4032865,0.86593014,1.0,3.0,0.79888207,0.63676375,-0.058980647,-0.092389509,0.06932357,3,0.7164495,0.63184148,-0.045695622,0.01282474,0.070281051,3,143.0
