MSN,YYYYMM,Value,Column_Order,Description,Unit
CPUCIUS,200108,177.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200109,178.3,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200110,177.7,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200111,177.4,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200112,176.7,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200113,177.1,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200201,177.1,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200202,177.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200203,178.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200204,179.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200205,179.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200206,179.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200207,180.1,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200208,180.7,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200209,181,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200210,181.3,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200211,181.3,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200212,180.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200213,179.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200301,181.7,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200302,183.1,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200303,184.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200304,183.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200305,183.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200306,183.7,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200307,183.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200308,184.6,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200309,185.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200310,185,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200311,184.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200312,184.3,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200313,184,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200401,185.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200402,186.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200403,187.4,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200404,188,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200405,189.1,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200406,189.7,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200407,189.4,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200408,189.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200409,189.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200410,190.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200411,191,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200412,190.3,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200413,188.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200501,190.7,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200502,191.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200503,193.3,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200504,194.6,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200505,194.4,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200506,194.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200507,195.4,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200508,196.4,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200509,198.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200510,199.2,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200511,197.6,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200512,196.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200513,195.3,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200601,198.3,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200602,198.7,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200603,199.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200604,201.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200605,202.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200606,202.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200607,203.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200608,203.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200609,202.9,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200610,201.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200611,201.5,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200612,201.8,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200613,201.6,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200701,202.416,1,Consumer Price Index (Urban),Index 1982-1984 = 100
CPUCIUS,200702,203.499,1,Consumer Price Index (Urban),Index 1982-1984 = 100
