Country,Regioncode,Region,Variable,Year,AGR,MIN,MAN,PU,CON,WRT,TRA,FIRE,GOV,OTH,SUM
CRI,LAM,Latin America,VA_Q05,1990,470815.7130047661,9089.783504750761,837731.1832168091,108269.2186811565,220688.9344517574,906640.5550761279,226531.4537554412,391934.1403487088,938328.0083285981,327952.8585334493,4437981.848901565
CRI,LAM,Latin America,VA_Q05,1991,500256.624535886,9280.616064543194,855318.6632736941,113141.3335218086,204154.8072084521,908536.0937481887,233109.9647639907,397239.4467898452,947717.4890123358,334943.3400989602,4503698.379017705
CRI,LAM,Latin America,VA_Q05,1992,518462.3923127138,11113.79062260615,948863.0415084896,120960.7943995621,230568.3798854757,1035537.149798939,259590.6589319545,412142.8171825967,978390.2030405514,357013.9015436379,4872643.129226526
CRI,LAM,Latin America,VA_Q05,1993,537483.2469542834,9587.078595136698,1010732.906924298,125174.1596567253,257906.4308312957,1131768.234335867,291019.791618662,429444.1174338159,997584.5473918766,395985.3568921954,5186685.870634156
CRI,LAM,Latin America,VA_Q05,1994,554962.0644659969,10363.99292573359,1048661.250547139,134511.5396934735,276350.0167086381,1189565.283827745,313419.7860964285,456587.0570666732,1027926.909152117,411597.6430869633,5423945.543570908
CRI,LAM,Latin America,VA_Q05,1995,595658.8949226756,9976.920568243951,1091959.551681286,138654.9267202677,297409.0153237471,1230660.841029174,336207.5984217619,467220.1355864666,1052346.205598645,418265.8920425861,5638359.981894854
CRI,LAM,Latin America,VA_Q05,1996,606443.3543728109,9500.165665450571,1097759.065378503,142285.8510673404,244151.387302223,1223551.208332028,352305.4322421867,477625.0258915124,1054555.120140929,435975.1311134386,5644151.741506423
CRI,LAM,Latin America,VA_Q05,1997,615438.3270058228,10730.17452468038,1181783.903175841,150182.4962434692,259064.3920123627,1298645.832156035,387153.8044001224,504654.3382312757,1082692.367514797,447193.7137251434,5937539.348989549
CRI,LAM,Latin America,VA_Q05,1998,665908.9021749542,11723.01907929416,1316251.236091212,163212.8314598267,304137.9434824742,1408656.455989606,418617.9501027734,532705.9567839459,1110038.7872358,488904.4589685551,6420157.541368442
CRI,LAM,Latin America,VA_Q05,1999,696065.4799134618,11010.26995461518,1641375.60778612,173329.8154209747,299255.4390758499,1442429.734973823,447296.7807364214,584626.6444330284,1145833.530818129,500724.9211183186,6941948.224230742
CRI,LAM,Latin America,VA_Q05,2000,700793.7263329416,11704.01454494542,1593410.597260188,184484.0168523017,312364.1857812537,1463889.419132146,492783.9115191009,648045.4781047823,1174667.187514915,514049.2830669284,7096191.820109503
CRI,LAM,Latin America,VA_Q05,2001,710561.4882567627,12450.37845180967,1448829.579274654,192051.7002537889,357327.2233501663,1492075.196960517,538138.3315599133,703581.0781976169,1207573.695408531,516177.4131114981,7178766.084825258
CRI,LAM,Latin America,VA_Q05,2002,687368.8505013752,12070.26374895446,1498054.413827422,202307.6283314133,351817.4207184766,1515761.746964282,602864.6621613858,746123.2458430909,1238870.496406113,535719.0808496076,7390957.809352122
CRI,LAM,Latin America,VA_Q05,2003,738100.3374117297,12579.30663862442,1624327.148164767,214123.7207221162,368827.8804025386,1566871.352500188,685549.8574771136,811604.0324256043,1266945.651938333,560368.5919224729,7849297.879603487
CRI,LAM,Latin America,VA_Q05,2004,743454.4950212196,13545.6194292944,1688553.021078069,222775.2270016464,391921.4528169701,1628101.778233934,768027.9615756773,876017.7956056236,1297554.046030499,556433.0023749777,8186384.399167911
CRI,LAM,Latin America,VA_Q05,2005,775343.1149251612,14578.0649596653,1870398.582778587,235866.1159516628,390989.2673430934,1693282.831291631,841952.0115925928,931201.8363459334,1327497.424471756,587351.4964115112,8668460.746071594
CRI,LAM,Latin America,VA_Q05,2006,873736.4327087401,18320.08049168186,2073213.260876705,250162.0542288017,462095.2750010625,1775247.537578518,930584.764537216,1055778.544453469,1355077.707922207,603796.2702324092,9398011.928030811
CRI,LAM,Latin America,VA_Q05,2007,922723.3391926555,18048.06438742055,2218772.691589098,255996.7265347056,560313.1628485032,1893022.269716281,1022044.068528203,1169297.708181175,1387793.440111761,636690.4505691023,10084701.92165891
CRI,LAM,Latin America,VA_Q05,2008,892856.8870028692,17035.85074991923,2136979.64359115,254550.4091905323,642003.9270662601,1957104.822110579,1099268.272812929,1281036.316946262,1440861.160950063,673300.2114215161,10394997.50184208
CRI,LAM,Latin America,VA_Q05,2009,868273.3415520982,14623.24096620636,2053428.427257427,262954.6857413655,622822.6693339142,1839465.679581447,1131997.073150371,1363838.503810693,1508366.787974521,714251.9178652382,10380022.32723328
CRI,LAM,Latin America,VA_Q05,2010,926130.0073625759,13579.04959806641,2135879.926534922,270125.6615479025,597477.8478011475,1916255.519988111,1210268.70191416,1463754.598994069,1565030.732861181,751328.4230681828,10849830.46967032
CRI,LAM,Latin America,VA_Q05,2011,936774.9680968701,13146.73913580229,2226244.023255444,277802.5224266662,574731.0949966219,1996124.276975528,1303240.967391766,1580127.318088047,1583363.105715421,787625.4175188383,11279180.43360101
CRI,LAM,Latin America,EMP,1950,152.8669753674571,.7948022982710071,29.14275093660359,1.589604596542014,11.39216627521776,20.92979385446985,9.272693479828417,4.236339791571773,25.82709291539057,13.11821969988877,269.1704392152408
CRI,LAM,Latin America,EMP,1951,160.5467039941591,.8427334046432973,31.0378875234776,1.576933272306449,10.06931579450383,20.95490373429112,8.80634707837897,4.157840338242815,24.89102142406121,12.66970930000787,275.5533958640722
CRI,LAM,Latin America,EMP,1952,164.8491469163641,.8338579850142024,30.84782534929246,1.601080078563876,11.04006472000191,21.17953443808082,9.076367485951639,4.43908314282465,25.14455189652954,13.07620235004226,282.0877143626655
CRI,LAM,Latin America,EMP,1953,158.2884444664521,.8247694594569507,30.64753488077049,1.870728682766203,14.83317364467666,23.18205518589252,9.642383993160061,5.12197329507068,29.287788296012,15.07813211667451,288.7769840209322
CRI,LAM,Latin America,EMP,1954,160.0617938612736,.908818052904559,33.92113988610124,1.942849607947309,15.35558694713022,22.34153293550568,10.16598231635998,5.166247589326274,30.37963384616935,15.38129422094516,295.6248792636634
CRI,LAM,Latin America,EMP,1955,155.4803072211364,.9177414867652006,34.40680709798978,2.230933137048314,16.12662025054222,24.32580078096571,11.70703461507808,5.955604498740292,34.38642431597076,17.517019618497,303.0542930227338
CRI,LAM,Latin America,EMP,1956,152.7505303436488,1.014724572986276,38.21225798021467,2.577741888090101,16.34990861509255,24.99860200812205,12.80341251557751,6.367538264350022,37.21691987399485,18.84743797110078,311.1390740331776
CRI,LAM,Latin America,EMP,1957,163.3384785864525,.9976708592747594,37.73743050639285,2.574819550070056,18.97389391134693,24.28657775351479,11.6061989699774,6.712583558636946,34.70392434035875,18.50796008977572,319.4395381258008
CRI,LAM,Latin America,EMP,1958,168.0198545771582,.9734620276059689,36.9857619416042,2.922416566743069,15.79121156175746,25.48852313046535,12.33492634336548,7.446862155104678,37.71258557398101,20.2858353439047,327.9614392216901
CRI,LAM,Latin America,EMP,1959,173.105224660749,.9727409690965209,37.12301814461986,2.929754841119076,15.68570982256938,25.1036251220859,12.11435512566069,7.651652861357417,37.6405171980381,24.38408599781776,336.7106847431137
CRI,LAM,Latin America,EMP,1960,175.9263948920874,1.020849486801281,39.13256366071577,3.402831622670936,18.37529076242305,31.9866172531068,12.59047700388246,6.355337338686974,38.13708505111475,19.37076937202406,346.2982164435135
CRI,LAM,Latin America,EMP,1961,183.3308953131064,.9296967817634423,36.2411541589228,2.845749716034817,21.03350312372462,31.9340173742315,12.76854184449493,6.875462848832403,40.58378307429207,20.69171970173278,357.2345239371357
CRI,LAM,Latin America,EMP,1962,186.9364926516148,.9758550302778456,38.68388685574015,2.30888807570462,23.30282831605497,33.85372979319428,12.80520300162357,6.717535435265022,41.53450666536289,21.3972808227584,368.5162066475965
CRI,LAM,Latin America,EMP,1963,189.6367656584014,1.020404319055372,41.13402372463376,3.161920002967046,23.91223472027579,34.80851260794213,12.87069104404704,7.731350102271325,43.44985674423203,22.42841280967737,380.1541717335032
CRI,LAM,Latin America,EMP,1964,193.6704918168014,1.12601940120403,46.15926514845558,2.81396112488273,20.08812720622152,36.98860152541009,13.96589313375278,8.234184513645909,45.41873619411476,23.69439074365081,392.1596708081397
CRI,LAM,Latin America,EMP,1965,190.9779864187142,1.194980368055364,49.81474254318047,3.805008027148365,24.71312090880713,38.46943864776878,14.03834044965142,8.340325093111623,48.89621830209767,25.28327691873722,405.5334376772722
CRI,LAM,Latin America,EMP,1966,193.1703058594648,1.243022614581272,52.69388949855894,3.938127961070589,24.67589970924979,41.66781860456686,14.88602225754146,8.882020425176444,52.04200111074772,26.94858228641943,420.1476903273773
