countrycode,year,v_c,v_i,v_g,v_x,v_m,v_gdp,q_c,q_i,q_g,q_x,q_m,q_gdp,pop,xr,xr2,v_gfcf,q_gfcf,emp,avh
BWA,2002,12863.133902,10391.53566,7701.996549,17950.485218,13655.674453,34415.967599,21498.3351240456,20905.85565998299,16320.11494901499,44143.34222532736,32652.9291604286,70497.91602950175,1.779953,6.327800688333333,6.327800688333333,9454.900426,17279.99970211698,.53799999,
BWA,2003,14343.412443,11207.646652,8183.188478999999,18154.597545,13759.856204,37181.52475,21784.63858133546,21646.87463028707,16519.26359517973,41053.48486904025,30269.14444361304,73759.11795181932,1.804339,4.949928608333333,4.949928608333333,10416.736904,18217.13132083901,.50018299,
BWA,2004,16724.760307,13232.965013,8631.078781,20855.9,17396.399902,42036.592947,22454.69437004881,23614.18103366768,17702.59264986961,44086.93219885414,35601.84052402581,75754.88548648499,1.82933,4.692887390333333,4.692887390333333,11703.707245,20018.05543747908,.56699997,
BWA,2005,19339.895865,13779.361111,9846.280137,26859.8,18058.499878,50752.203299,24874.29525898382,23490.68191068342,16583.43672358761,52106.68333860992,33844.64654851716,79206.70910685135,1.855852,5.110354434666666,5.110354434666666,12860.479872,20390.8944900658,.59799999,
BWA,2006,22892.7,15311.5,10070.5,30886,20143.7,59106.89999999999,29164.63176347959,23386.32853175796,15924.35645647981,53739.1050023889,33859.59310194681,85831.49752172556,1.884238,5.836571192916666,5.836571192916666,15486.6,21808.52673866283,.591075,
BWA,2007,26622.2,20677.9,11815.4,36609,27256.3,67152.7,33537.45050212347,27809.31765507117,16485.08068099025,58296.99646078042,42309.31908796476,92935.66373648871,1.914414,6.138819205366358,6.138819205366358,19061.5,24283.20654722447,.66000003,
BWA,2008,32929.2,27039.3,15206.6,34128,38139,74720.89999999999,39325.52701289806,31450.89646007349,17307.03554410969,56851.30193256933,49732.01594368662,98739.86086364486,1.946351,6.826856666666667,6.826856666666667,22851.6,25092.93714121751,.67799997,
BWA,2009,37223.5,28599.1,15492.9,25565.6,38116,73462.39999999999,41501.35745370339,32043.82510309772,17819.84650147829,35434.99725385946,44319.34144052193,91183.94592286476,1.979882,7.15513769599502,7.15513769599502,25645.5,27474.39292932673,.699,
BWA,2010,42692,35973.6,17162,37905,44532,86867.39999999999,45078.35454584647,40502.76311280596,18485.25246619336,41113.04564777608,47191.49943152131,98992.54089377087,2.014866,6.79362115597508,6.79362115597508,29201.5,29995.54297561227,.66799998,
BWA,2011,48629.1,40496.5,19407.3,52438,56264,104980,48629.1,40496.5,19407.3,52438,56264,104980,2.051339,6.83823583333333,6.83823583333333,33640.6,33640.6,.73400003,
